SA2,Area Type,Area Name,2026
201011001,SA2,Alfredton,"19,227"
201011002,SA2,Ballarat,"12,534"
201011003,SA2,Ballarat - North,"25,931"
201011004,SA2,Ballarat - South,"27,814"
201011005,SA2,Buninyong,"8,343"
201011006,SA2,Delacombe,"12,714"
201011007,SA2,Smythes Creek,"4,263"
201011008,SA2,Wendouree - Miners Rest,"16,115"
201021009,SA2,Bacchus Marsh Region,"6,694"
201021010,SA2,Creswick - Clunes,"8,440"
201021011,SA2,Daylesford,"9,759"
201021012,SA2,Gordon (Vic.),"6,238"
201031013,SA2,Avoca,"3,394"
201031014,SA2,Beaufort,"4,561"
201031015,SA2,Golden Plains - North,"5,176"
201031016,SA2,Maryborough (Vic.),"8,325"
201031017,SA2,Maryborough Region,"5,509"
202011018,SA2,Bendigo,"15,294"
202011019,SA2,California Gully - Eaglehawk,"14,738"
202011020,SA2,East Bendigo - Kennington,"14,044"
202011021,SA2,Flora Hill - Spring Gully,"10,163"
202011022,SA2,Kangaroo Flat - Golden Square,"22,226"
202011023,SA2,Maiden Gully,"6,882"
202011024,SA2,Strathfieldsaye,"12,826"
202011025,SA2,White Hills - Ascot,"17,644"
202021026,SA2,Bendigo Region - South,"9,332"
202021027,SA2,Castlemaine,"11,937"
202021028,SA2,Castlemaine Region,"9,050"
202021029,SA2,Heathcote,"4,999"
202021030,SA2,Kyneton,"11,086"
202021031,SA2,Woodend,"8,281"
202031032,SA2,Bendigo Region - North,"4,802"
202031033,SA2,Loddon,"6,928"
203011034,SA2,Bannockburn,"9,684"
203011035,SA2,Golden Plains - South,"8,339"
203011036,SA2,Winchelsea,"6,363"
203021037,SA2,Belmont,"15,541"
203021038,SA2,Corio - Norlane,"29,090"
203021039,SA2,Geelong,"14,793"
203021040,SA2,Geelong West - Hamlyn Heights,"22,673"
203021041,SA2,Grovedale,"43,120"
203021042,SA2,Highton,"26,338"
203021043,SA2,Lara,"24,510"
203021044,SA2,Leopold,"15,703"
203021045,SA2,Newcomb - Moolap,"16,077"
203021046,SA2,Newtown (Vic.),"11,585"
203021047,SA2,North Geelong - Bell Park,"16,827"
203031048,SA2,Clifton Springs,"18,469"
203031049,SA2,Lorne - Anglesea,"5,695"
203031050,SA2,Ocean Grove - Barwon Heads,"36,006"
203031051,SA2,Portarlington,"9,259"
203031052,SA2,Point Lonsdale - Queenscliff,"4,994"
203031053,SA2,Torquay,"26,503"
204011054,SA2,Alexandra,"7,133"
204011055,SA2,Euroa,"6,672"
204011056,SA2,Kilmore - Broadford,"18,158"
204011057,SA2,Mansfield (Vic.),"10,274"
204011058,SA2,Nagambie,"4,692"
204011059,SA2,Seymour,"6,552"
204011060,SA2,Seymour Region,"4,562"
204011061,SA2,Upper Yarra Valley,208
204011062,SA2,Yea,"4,063"
204021063,SA2,Benalla,"10,660"
204021064,SA2,Benalla Region,"3,731"
204021065,SA2,Rutherglen,"4,167"
204021066,SA2,Wangaratta,"20,590"
204021067,SA2,Wangaratta Region,"9,929"
204031068,SA2,Beechworth,"5,183"
204031069,SA2,Bright - Mount Beauty,"8,828"
204031070,SA2,Chiltern - Indigo Valley,"3,183"
204031071,SA2,Myrtleford,"4,782"
204031072,SA2,Towong,"6,114"
204031073,SA2,West Wodonga,"16,345"
204031074,SA2,Wodonga,"32,828"
204031075,SA2,Yackandandah,"4,977"
205011076,SA2,Drouin,"22,922"
205011077,SA2,Mount Baw Baw Region,"6,274"
205011078,SA2,Trafalgar (Vic.),"9,041"
205011079,SA2,Warragul,"24,349"
205021080,SA2,Alps - East,0
205021081,SA2,Bairnsdale,"17,345"
205021082,SA2,Bruthen - Omeo,"8,433"
205021083,SA2,Lake King,0
205021084,SA2,Lakes Entrance,"11,178"
205021085,SA2,Orbost,"6,310"
205021086,SA2,Paynesville,"7,611"
205031087,SA2,Foster,"9,320"
205031088,SA2,French Island,94
205031089,SA2,Korumburra,"10,235"
205031090,SA2,Leongatha,"12,178"
205031091,SA2,Phillip Island,"13,301"
205031092,SA2,Wilsons Promontory,0
205031093,SA2,Wonthaggi - Inverloch,"27,692"
205041094,SA2,Churchill,"11,892"
205041095,SA2,Moe - Newborough,"17,114"
205041096,SA2,Morwell,"14,227"
205041097,SA2,Traralgon,"30,436"
205041098,SA2,Yallourn North - Glengarry,"4,747"
205051099,SA2,Alps - West,0
205051100,SA2,Longford - Loch Sport,"4,683"
205051101,SA2,Maffra,"14,973"
205051102,SA2,Rosedale,"5,033"
205051103,SA2,Sale,"15,834"
205051104,SA2,Yarram,"5,529"
206011105,SA2,Brunswick,"33,919"
206011106,SA2,Brunswick East,"16,282"
206011107,SA2,Brunswick West,"17,161"
206011108,SA2,Coburg,"33,085"
206011109,SA2,Pascoe Vale South,"11,923"
206021110,SA2,Alphington - Fairfield,"10,702"
206021111,SA2,Northcote,"30,539"
206021112,SA2,Thornbury,"21,885"
206031113,SA2,Ascot Vale,"18,400"
206031114,SA2,Essendon - Aberfeldie,"33,686"
206031115,SA2,Flemington,"12,787"
206031116,SA2,Moonee Ponds,"20,977"
206041117,SA2,Carlton,"26,747"
206041118,SA2,Docklands,"24,820"
206041119,SA2,East Melbourne,"6,519"
206041120,SA2,Flemington Racecourse,982
206041121,SA2,Kensington (Vic.),"13,215"
206041122,SA2,Melbourne,"73,594"
206041123,SA2,North Melbourne,"33,979"
206041124,SA2,Parkville,"9,640"
206041125,SA2,South Yarra - West,"7,541"
206041126,SA2,Southbank,"41,516"
206041127,SA2,West Melbourne,0
206051128,SA2,Albert Park,"19,094"
206051129,SA2,Elwood,"17,497"
206051130,SA2,Port Melbourne,"18,824"
206051131,SA2,Port Melbourne Industrial,"4,931"
206051132,SA2,South Melbourne,"23,032"
206051133,SA2,St Kilda,"33,210"
206051134,SA2,St Kilda East,"18,967"
206061135,SA2,Armadale,"11,681"
206061136,SA2,Prahran - Windsor,"24,164"
206061137,SA2,South Yarra - East,"29,260"
206061138,SA2,Toorak,"14,623"
206071139,SA2,Abbotsford,"12,103"
206071140,SA2,Carlton North - Princes Hill,"9,337"
206071141,SA2,Collingwood,"11,993"
206071142,SA2,Fitzroy,"13,059"
206071143,SA2,Fitzroy North,"14,865"
206071144,SA2,Richmond (Vic.),"42,185"
206071145,SA2,Yarra - North,"13,012"
207011146,SA2,Ashburton (Vic.),"8,687"
207011147,SA2,Balwyn,"17,792"
207011148,SA2,Balwyn North,"22,715"
207011149,SA2,Camberwell,"25,376"
207011150,SA2,Glen Iris - East,"18,639"
207011151,SA2,Hawthorn,"28,479"
207011152,SA2,Hawthorn East,"19,492"
207011153,SA2,Kew,"28,584"
207011154,SA2,Kew East,"7,324"
207011155,SA2,Surrey Hills (West) - Canterbury,"18,434"
207021156,SA2,Bulleen,"12,726"
207021157,SA2,Doncaster,"28,803"
207021159,SA2,Templestowe,"18,068"
207021160,SA2,Templestowe Lower,"15,241"
207021424,SA2,Doncaster East (North),"17,345"
207021425,SA2,Doncaster East (South),"16,668"
207031161,SA2,Blackburn,"24,899"
207031162,SA2,Blackburn South,"11,652"
207031163,SA2,Box Hill,"29,766"
207031164,SA2,Box Hill North,"19,583"
207031165,SA2,Burwood,"16,225"
207031166,SA2,Burwood East,"13,468"
207031167,SA2,Surrey Hills (East) - Mont Albert,"11,120"
208011168,SA2,Beaumaris,"15,314"
208011169,SA2,Brighton (Vic.),"26,367"
208011170,SA2,Brighton East,"17,713"
208011171,SA2,Cheltenham - Highett (West),"13,997"
208011172,SA2,Hampton,"20,563"
208011173,SA2,Sandringham - Black Rock,"19,698"
208021174,SA2,Bentleigh - McKinnon,"26,259"
208021176,SA2,Carnegie,"22,840"
208021177,SA2,Caulfield - North,"25,734"
208021178,SA2,Caulfield - South,"19,714"
208021179,SA2,Elsternwick,"13,705"
208021180,SA2,Hughesdale,"9,225"
208021181,SA2,Murrumbeena,"10,725"
208021182,SA2,Ormond - Glen Huntly,"15,612"
208021426,SA2,Bentleigh East (North),"19,042"
208021427,SA2,Bentleigh East (South),"15,126"
208031183,SA2,Aspendale Gardens - Waterways,"9,553"
208031184,SA2,Braeside,60
208031185,SA2,Carrum - Patterson Lakes,"13,511"
208031186,SA2,Chelsea - Bonbeach,"16,805"
208031187,SA2,Chelsea Heights,"5,744"
208031188,SA2,Cheltenham - Highett (East),"29,075"
208031189,SA2,Edithvale - Aspendale,"14,465"
208031190,SA2,Mentone,"15,771"
208031191,SA2,Moorabbin - Heatherton,"11,063"
208031192,SA2,Moorabbin Airport,0
208031193,SA2,Mordialloc - Parkdale,"23,093"
208041194,SA2,Malvern - Glen Iris,"23,619"
208041195,SA2,Malvern East,"26,025"
209011196,SA2,Bundoora - East,"10,934"
209011197,SA2,Greensborough,"22,624"
209011198,SA2,Heidelberg - Rosanna,"18,986"
209011199,SA2,Heidelberg West,"17,273"
209011200,SA2,Ivanhoe,"14,437"
209011201,SA2,Ivanhoe East - Eaglemont,"8,380"
209011202,SA2,Montmorency - Briar Hill,"17,459"
209011203,SA2,Viewbank - Yallambie,"19,071"
209011204,SA2,Watsonia,"9,916"
209021205,SA2,Kingsbury,"14,057"
209021207,SA2,Reservoir - East,"33,462"
209021208,SA2,Reservoir - West,"27,584"
209021428,SA2,Preston - East,"27,245"
209021429,SA2,Preston - West,"16,933"
209031209,SA2,Eltham,"24,743"
209031210,SA2,Hurstbridge,"3,677"
209031211,SA2,Kinglake,"4,499"
209031212,SA2,Panton Hill - St Andrews,"5,690"
209031213,SA2,Plenty - Yarrambat,"10,290"
209031214,SA2,Research - North Warrandyte,"7,078"
209031215,SA2,Wattle Glen - Diamond Creek,"15,283"
209041216,SA2,Bundoora - North,"10,169"
209041217,SA2,Bundoora - West,"7,382"
209041219,SA2,Lalor,"29,649"
209041220,SA2,Mill Park - North,"18,884"
209041221,SA2,Mill Park - South,"12,571"
209041223,SA2,Thomastown,"22,478"
209041224,SA2,Wallan,"33,084"
209041225,SA2,Whittlesea,"19,163"
209041430,SA2,Doreen,"31,384"
209041431,SA2,Epping - East,"15,462"
209041432,SA2,Epping - South,"9,057"
209041433,SA2,Epping - West,"14,567"
209041434,SA2,Mernda,"28,976"
209041435,SA2,South Morang (North),"15,638"
209041436,SA2,South Morang (South),"13,806"
209041437,SA2,Wollert,"36,732"
210011226,SA2,Airport West,"9,480"
210011227,SA2,Essendon Airport,0
210011228,SA2,Keilor,"9,669"
210011229,SA2,Keilor East,"30,911"
210011230,SA2,Niddrie - Essendon West,"8,584"
210011231,SA2,Strathmore,"11,058"
210021232,SA2,Gisborne,"16,783"
210021233,SA2,Macedon,"3,647"
210021234,SA2,Riddells Creek,"4,886"
210021235,SA2,Romsey,"11,375"
210031236,SA2,Coburg North,"10,680"
210031237,SA2,Fawkner,"16,582"
210031239,SA2,Pascoe Vale,"29,998"
210031438,SA2,Glenroy,"27,739"
210031439,SA2,Gowanbrae,"3,540"
210031440,SA2,Hadfield,"7,206"
210041240,SA2,Sunbury,"15,453"
210041241,SA2,Sunbury - South,"37,447"
210051242,SA2,Broadmeadows,"16,847"
210051243,SA2,Campbellfield - Coolaroo,"17,822"
210051245,SA2,Gladstone Park - Westmeadows,"19,551"
210051246,SA2,Greenvale - Bulla,"27,114"
210051247,SA2,Meadow Heights,"16,030"
210051248,SA2,Melbourne Airport,194
210051249,SA2,Roxburgh Park - Somerton,"27,356"
210051250,SA2,Tullamarine,"7,332"
210051441,SA2,Craigieburn - Central,"8,933"
210051442,SA2,Craigieburn - North,"13,826"
210051443,SA2,Craigieburn - South,"25,808"
210051444,SA2,Craigieburn - West,"27,752"
210051445,SA2,Mickleham - Yuroke,"33,525"
211011251,SA2,Bayswater,"14,547"
211011254,SA2,Knoxfield - Scoresby,"19,306"
211011255,SA2,Lysterfield,"7,257"
211011256,SA2,Rowville - Central,"16,317"
211011257,SA2,Rowville - North,"8,566"
211011258,SA2,Rowville - South,"10,880"
211011259,SA2,Wantirna,"15,621"
211011260,SA2,Wantirna South,"20,423"
211011446,SA2,Boronia,"25,580"
211011447,SA2,Ferntree Gully (North),"15,607"
211011448,SA2,Ferntree Gully (South) - Upper Ferntree Gully,"15,578"
