DATAFLOW,SEXP: Sex,INCP: Total personal income (weekly),AGEP: Age,REGION: Region,REGION_TYPE: Region Type,STATE: State,TIME_PERIOD: Time Period,OBS_VALUE
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,213051586: Truganina - North,SA2: Statistical Area Level 2,2: Victoria,2021,2824
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,210031237: Fawkner,SA2: Statistical Area Level 2,2: Victoria,2021,5624
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,201011005: Buninyong,SA2: Statistical Area Level 2,2: Victoria,2021,5759
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,205051099: Alps - West,SA2: Statistical Area Level 2,2: Victoria,2021,23
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,205041098: Yallourn North - Glengarry,SA2: Statistical Area Level 2,2: Victoria,2021,1915
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,212041565: Keysborough - North,SA2: Statistical Area Level 2,2: Victoria,2021,6204
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,206071518: Richmond - North,SA2: Statistical Area Level 2,2: Victoria,2021,6465
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,207011152: Hawthorn East,SA2: Statistical Area Level 2,2: Victoria,2021,13393
ABS:C21_G17_SA2(1.0.0),1: Males,_T: Total,_T: Total,205011078: Trafalgar (Vic.),SA2: Statistical Area Level 2,2: Victoria,2021,3293
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,215021469: Mildura - North,SA2: Statistical Area Level 2,2: Victoria,2021,14852
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,216031594: Shepparton - South East,SA2: Statistical Area Level 2,2: Victoria,2021,6796
ABS:C21_G17_SA2(1.0.0),3: Persons,_T: Total,_T: Total,208031185: Carrum - Patterson Lakes,SA2: Statistical Area Level 2,2: Victoria,2021,10036
ABS:C21_G17_SA2(1.0.0),2: Females,_T: Total,_T: Total,212041459: Noble Park - East,SA2: Statistical Area Level 2,2: Victoria,2021,5210
